,maps_taps,travel_taps,productivity_taps,personalisation_taps,tools_taps,communication_taps,news_magazines_taps,social_taps,shopping_taps,video_players_taps,finance_taps,weather_taps,photography_taps,entertainement_taps,sport_taps,lifestyle_taps,music_audio_taps,game_taps,education_taps,business_taps,health_fitness_taps,food_drink_taps,books_reference_taps,Median_Distances
116,16,615,3,0,128,4478,13,26,0,304,5,0,61,706,289,17,131,3199,0,61,0,0,0,403.37300000000005
117,200,244,1116,0,1012,8090,889,0,0,16,4,19,348,0,584,0,19,54,0,192,3,0,0,407.5505
118,8,851,77,0,47,3213,0,1154,0,72,15,2,14,30,30,0,157,205,0,0,7,0,0,411.7285
119,1,221,16,0,54,2397,0,570,0,0,0,0,0,133,15,0,0,0,0,79,36,0,0,415.27700000000004
120,46,7,1,0,0,309,8,68,0,15,0,0,384,228,34,0,0,107,0,2,0,0,0,418.6745
121,6,247,0,0,0,1024,0,0,33,129,50,0,0,1186,10,0,0,954,0,953,4,0,0,424.24850000000004
122,12,123,0,0,0,275,0,0,276,37,0,0,3,588,9,0,0,171,0,88,0,0,0,431.408
123,0,134,0,0,20,216,2,137,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,438.51800000000003
124,0,0,0,0,17,217,0,24,0,0,0,0,3,136,0,0,0,0,0,0,0,0,0,444.4845
125,42,152,0,0,0,454,43,12,0,28,0,0,0,106,0,0,0,162,0,8,0,0,0,449.6115
126,0,287,116,0,21,9521,718,3226,19,200,25,4,603,26,8,534,233,107,16,0,21,0,0,454.9355
127,0,119,0,0,0,426,0,209,0,0,0,0,8,0,0,0,0,61,0,0,0,0,0,460.382
128,0,29,0,0,0,782,31,56,0,0,0,0,79,304,16,213,0,716,0,83,0,0,0,467.46299999999997
129,3,113,438,0,20,917,82,262,0,41,0,0,2,70,0,98,0,223,0,368,0,0,0,477.06
130,0,49,908,0,49,1224,0,5,42,3,0,35,0,0,0,0,0,0,0,32,9,0,0,487.3035
131,73,40,471,0,45,4497,0,0,0,0,4,0,113,439,104,0,0,1220,0,219,35,0,0,496.012
132,19,0,0,0,4,1226,0,0,0,0,260,0,2,56,2,0,0,1188,0,0,0,0,0,502.6345
133,9,0,3,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.04550000000006
134,6,111,39,0,0,695,0,0,0,0,33,0,5,189,0,0,0,0,0,0,26,0,0,515.6410000000001
135,7,29,0,0,29,576,0,0,0,96,0,0,0,123,0,0,0,476,0,443,0,0,0,525.515
136,55,3,0,0,0,465,0,0,0,18,0,0,1,234,4,0,0,590,0,6,1,0,0,536.187
137,3,29,0,0,0,325,0,0,0,0,12,0,0,0,10,0,0,599,0,0,0,0,0,542.3530000000001
138,7,25,162,0,2,494,0,0,0,0,0,0,0,32,14,0,2,296,0,0,0,0,0,548.794
139,0,0,0,0,3,212,0,0,0,0,0,0,0,0,448,0,0,790,0,0,0,0,0,556.0485
140,0,0,0,0,0,726,0,0,0,0,0,0,0,0,7,0,0,46,0,0,0,0,0,562.2455
141,23,0,0,0,26,391,0,0,0,0,44,0,0,192,58,0,0,45,0,0,0,0,0,567.009
142,32,35,0,0,1,650,0,0,0,241,0,0,0,698,48,0,10,2371,0,66,0,0,0,570.855
143,24,25,0,0,0,219,0,0,0,85,3,0,0,123,78,0,0,730,0,2,0,0,0,575.108
144,6,51,0,0,1,236,0,0,0,0,0,0,0,124,10,0,0,419,0,135,0,0,0,579.488
145,26,769,26,0,18,2068,0,0,0,0,3,0,22,0,11,0,0,469,0,0,3,0,0,582.8634999999999
146,260,1425,215,0,83,10667,0,0,8,25,63,0,240,1729,377,0,27,2115,0,3539,89,0,0,585.0195
147,143,1630,749,0,115,11105,16,0,0,342,272,0,71,3803,835,0,117,4053,0,3868,36,79,0,586.5675
148,821,7118,4793,0,6006,239571,14,4,489,10274,3015,0,1055,97587,13100,0,1399,323874,0,40010,1485,1362,238,587.5665
149,102,684,453,0,32,5548,0,0,20,60,117,0,270,1897,308,0,15,1117,0,870,3,0,0,588.6655000000001
150,84,645,99,0,9,3030,0,0,24,18,171,0,245,759,380,0,7,1109,0,983,22,0,0,592.942
151,24,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602.4755
152,0,11,7,0,1,7,0,0,0,113,0,0,0,0,1,0,2,0,0,111,0,0,0,616.6220000000001
153,45,4,14,0,12,543,7,0,0,23,4,0,11,12,5,0,0,981,0,62,0,0,0,627.252
154,0,177,937,0,15,2838,0,0,0,0,34,0,115,35,226,0,0,1,0,1448,17,0,0,636.797
155,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650.6324999999999
156,28,38,14,0,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663.703
157,0,0,0,0,7,261,0,153,0,0,0,0,0,54,0,0,0,194,0,0,0,0,0,673.0920000000001
158,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1017,0,0,0,0,0,695.067
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722.8945
160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,744.328
161,64,615,178,0,23,4988,53,976,0,15,0,0,20,0,0,0,3,194,0,284,112,0,0,768.9535000000001
162,0,170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,825.9845
163,0,837,183,0,4,506,0,2212,0,112,133,0,0,0,0,0,0,2,0,0,15,42,0,881.5899999999999
164,0,144,11,0,0,82,0,1,0,0,44,0,0,0,0,0,0,0,0,49,0,0,0,893.423
165,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899.053
166,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916.7595
167,0,1132,165,0,5,1111,0,3214,0,344,0,0,0,0,0,0,0,0,0,0,23,0,0,937.598
168,0,93,122,0,5,404,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,947.636
169,0,67,2,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,954.3005
170,0,425,128,0,43,302,0,1216,0,94,236,0,1,0,0,3,8,0,4,0,6,0,0,963.0550000000001
171,0,4960,1228,0,102,4723,1042,14669,0,217,389,4,22,0,0,423,0,2,78,13,18,328,0,971.2495
172,0,62,0,0,31,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983.553
